,ack,acn,ada,adh,ald,atp-synth,biomass,csn,cytbd,eda,edd,ex-P,ex-ace,ex-co2,ex-etoh,ex-for,ex-h2o,ex-lac,ex-o2,ex-suc,fbp,frd,fum,gap,gdh,glh,gln,glt,icd,icl,kgd,ldh,mas,mdh,me,nad-thd,nadh-dh,pdh,pfk,pfl,pgd,pgh,pgi,pgk,pgm,ppc,ppck,pta,pts,pyk,rpe,rpi,scs,sdh,tal,tim,tkt1,tkt2,zwf
4,0.0,0.0123026673924877,0.0,0.0,0.0,1.0,0.0108873162765378,0.0123026673924877,0.6644529123571039,0.0,0.0,0.0132825258573761,0.0,0.355688622754491,0.0,0.0,0.1125748502994011,0.0,0.3322264561785519,0.0,0.0,0.0,0.0,0.1123571039738704,0.0780620577027762,0.3535111594991834,0.0301578660860098,0.0,0.0123026673924877,0.0,0.0,0.0,0.0,0.0,0.0,0.4939575394665215,0.6644529123571039,0.0226456178551986,0.0,0.0,0.3535111594991834,0.1123571039738704,-0.2291780076211213,0.1123571039738704,0.1123571039738704,0.1442569406641262,0.1114861186717474,0.0,0.1248775176918889,-0.0681545998911268,0.2291780076211213,0.124333151878062,0.0,0.0,0.1168209036472509,0.0,0.1168209036472509,0.1123571039738704,0.3535111594991834
5,0.0,0.0123026673924877,0.0,0.0,0.0,1.0,0.0108873162765378,0.0123026673924877,0.6644529123571039,0.0,0.0,0.0132825258573761,0.0,0.355688622754491,0.0,0.0,0.1125748502994011,0.0,0.3322264561785519,0.0,0.1114861186717474,0.0,0.0,0.1123571039738704,0.0780620577027762,0.3535111594991834,0.0301578660860098,0.0,0.0123026673924877,0.0,0.0,0.0,0.0,0.0,0.0,0.4939575394665215,0.6644529123571039,0.0226456178551986,0.1114861186717474,0.0,0.3535111594991834,0.1123571039738704,-0.2291780076211213,0.1123571039738704,0.1123571039738704,0.0327708219923788,0.0,0.0,0.1248775176918889,-0.0681545998911268,0.2291780076211213,0.124333151878062,0.0,0.0,0.1168209036472509,0.0,0.1168209036472509,0.1123571039738704,0.3535111594991834
6,0.0,0.0123026673924877,0.0,0.0,0.0,1.0,0.0108873162765378,0.0123026673924877,0.6644529123571039,0.0,0.0,0.0132825258573761,0.0,0.355688622754491,0.0,0.0,0.1125748502994011,0.0,0.3322264561785519,0.0,0.0,0.0,0.0,0.1123571039738704,-0.0334240609689711,0.3535111594991834,0.1416439847577572,0.1114861186717474,0.0123026673924877,0.0,0.0,0.0,0.0,0.0,0.0,0.4939575394665215,0.6644529123571039,0.0226456178551986,0.0,0.0,0.3535111594991834,0.1123571039738704,-0.2291780076211213,0.1123571039738704,0.1123571039738704,0.0327708219923788,0.0,0.0,0.1248775176918889,-0.0681545998911268,0.2291780076211213,0.124333151878062,0.0,0.0,0.1168209036472509,0.0,0.1168209036472509,0.1123571039738704,0.3535111594991834
7,0.0,0.0123026673924877,0.0,0.0,0.0,1.0,0.0108873162765378,0.0123026673924877,0.6644529123571039,0.0,0.0,0.0132825258573761,0.0,0.355688622754491,0.0,0.0,0.1125748502994011,0.0,0.3322264561785519,0.0,0.0,0.0,0.0,0.1123571039738704,0.0,0.3535111594991834,0.108219923788786,0.0780620577027762,0.0123026673924877,0.0,0.0,0.0,0.0,0.0,0.0,0.4939575394665215,0.6644529123571039,0.0226456178551986,0.0,0.0,0.3535111594991834,0.1123571039738704,-0.2291780076211213,0.1123571039738704,0.1123571039738704,0.06619488296135,0.0334240609689711,0.0,0.1248775176918889,-0.0681545998911268,0.2291780076211213,0.124333151878062,0.0,0.0,0.1168209036472509,0.0,0.1168209036472509,0.1123571039738704,0.3535111594991834
8,0.0,0.0123026673924877,0.0,0.0,0.0,1.0,0.0108873162765378,0.0123026673924877,0.6644529123571039,0.0,0.0,0.0132825258573761,0.0,0.355688622754491,0.0,0.0,0.1125748502994011,0.0,0.3322264561785519,0.0,0.0334240609689711,0.0,0.0,0.1123571039738704,0.0,0.3535111594991834,0.108219923788786,0.0780620577027762,0.0123026673924877,0.0,0.0,0.0,0.0,0.0,0.0,0.4939575394665215,0.6644529123571039,0.0226456178551986,0.0334240609689711,0.0,0.3535111594991834,0.1123571039738704,-0.2291780076211213,0.1123571039738704,0.1123571039738704,0.0327708219923788,0.0,0.0,0.1248775176918889,-0.0681545998911268,0.2291780076211213,0.124333151878062,0.0,0.0,0.1168209036472509,0.0,0.1168209036472509,0.1123571039738704,0.3535111594991834
11,0.0,0.0123026673924877,0.0,0.0,0.0,1.0,0.0108873162765378,0.0123026673924877,0.6644529123571039,0.0,0.0,0.0132825258573761,0.0,0.355688622754491,0.0,0.0,0.1125748502994011,0.0,0.3322264561785519,0.0,0.0,0.0,0.0,0.1123571039738704,0.0780620577027762,0.3535111594991834,0.0301578660860098,0.0,0.0123026673924877,0.0,0.0,0.0,0.0,-0.1114861186717474,0.1114861186717474,0.6054436581382688,0.6644529123571039,0.0226456178551986,0.0,0.0,0.3535111594991834,0.1123571039738704,-0.2291780076211213,0.1123571039738704,0.1123571039738704,0.1442569406641262,0.0,0.0,0.1248775176918889,-0.1796407185628742,0.2291780076211213,0.124333151878062,0.0,0.0,0.1168209036472509,0.0,0.1168209036472509,0.1123571039738704,0.3535111594991834
118,0.0105139558649767,0.0060771202700464,0.9782998404527544,0.9782998404527544,0.0,0.0016402846741121,0.0053779825393399,0.0060771202700464,0.0,0.5235107470016314,0.5235107470016314,0.0065611386984565,0.0105139558649767,0.9898893928262016,0.9782998404527544,0.0,0.4150099492674112,0.0,0.0,0.0,0.0,0.0,0.0,0.5208038291238549,0.0,0.5235107470016314,0.0534571464424645,0.0385601348083824,0.0060771202700464,0.0,0.0,0.0,0.0,0.0,0.0,0.4182636287042289,0.0,1.0,0.0,0.0,0.0,0.5208038291238549,0.0032088629147948,0.5208038291238549,0.5208038291238549,0.0161877274438449,0.0,0.0105139558649767,0.5269885090435437,-0.0336661706974526,-0.0032088629147948,0.0032088629147948,0.0,0.0,-0.0005019450370184,0.0,-0.0005019450370184,-0.0027069178777763,0.5235107470016314
119,0.0103807147031953,0.0060001061969929,0.9785748420321836,0.9785748420321836,-0.0031681976667896,0.0016194976897993,0.0053098284923965,0.0060001061969929,0.0,0.5263809978931941,0.5263809978931941,0.0064779907611797,0.0103807147031953,0.990017522433462,0.9785748420321836,0.0,0.4192552080570858,0.0,0.0,0.0,0.0031681976667896,0.0,0.0,0.5173719888844709,0.0,0.5263809978931941,0.0527796952158295,0.0380714702917819,0.0060001061969929,0.0,0.0,0.0,0.0,0.0,0.0,0.422467654294505,0.0,1.0,0.0,0.0,0.0,0.5173719888844709,0.0,0.5173719888844709,0.5173719888844709,0.0159825837625399,0.0,0.0103807147031953,0.5266464893179627,-0.0364077240303619,-0.0031681976667896,0.0031681976667896,0.0,0.0,-0.0004955839926368,-0.0031681976667896,-0.0004955839926368,-0.0026726136741527,0.5263809978931941
120,0.0113925525925239,0.0065849536726917,0.9764864707363214,0.9764864707363214,0.0,0.0017773547517716,0.0058273926301326,0.0065849536726917,0.0,0.5254754181147101,0.5254754181147101,0.0071094190092622,0.0113925525925239,0.9890445018544368,0.9764864707363214,0.0,0.4079077717995806,0.0,0.0,0.0,0.0,0.0,0.0,0.5225422971579313,0.0417824051594762,0.5254754181147101,0.0161418775855871,0.0,0.0065849536726917,0.0,0.0,0.0,0.0,0.0,0.0,0.4114333443402833,0.0,1.0,0.0,0.0,0.0,0.5225422971579313,0.0034770109356056,0.5225422971579313,0.5225422971579313,0.017540451817167,0.0,0.0113925525925239,0.5292437986830734,-0.0364794778659141,-0.0034770109356056,0.0034770109356056,0.0,0.0,-0.0005438899788268,0.0,-0.0005438899788268,-0.0029331209567788,0.5254754181147101
121,0.0112362779473184,0.0064946261284001,0.9768090120127906,0.9768090120127906,-0.003429315860606,0.001752974308409,0.0057474567502364,0.0064946261284001,0.0,0.5285552809553127,0.5285552809553127,0.0070118972357819,0.0112362779473184,0.9891947813097272,0.9768090120127906,0.0,0.412600341016047,0.0,0.0,0.0,0.003429315860606,0.0,0.0,0.5188037626680518,0.0412092649006007,0.5285552809553127,0.0159204551982729,0.0,0.0064946261284001,0.0,0.0,0.0,0.0,0.0,0.0,0.4160775523494197,0.0,1.0,0.0,0.0,0.0,0.5188037626680518,0.0,0.5188037626680518,0.5188037626680518,0.017299844818673,0.0,0.0112362779473184,0.5288426537929855,-0.0394083951183522,-0.003429315860606,0.003429315860606,0.0,0.0,-0.000536429296703,-0.003429315860606,-0.000536429296703,-0.002892886563903,0.5285552809553127
